" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
" Public Employees Retirees, Inc. Chapter 93", Group meets at:Oregon Firehall #3 1102 S. Wheeling.," Oregon,",Ohio,43616,419-691-7581,,Ralph Kesling,President ," 4th Thursday of each month 1:00 pm, except for July, Aug. 3rd Thurs. in November and December.",Companionship; to keep retirees informed of changes in legislation at State and Federal level; to keep retirees informed of potential changes in pension funds and health care benefits., http://www.operi.org ,,,,,,,
 F.O.C.U.S. Families of Children United in Spirit.," Group meets at: Angela's Angels and Antique's, Erie and Main, Sylvania"," Sylvania,",Ohio,43560,419-882-6242,,Regina Elkhabtib,Contact ," 4th Thursday of each month, 7:00pm (except Nov. & Dec. - 3rd Thursday)",Support group for families of children who have passed on., ,,,,,,,
 Toledo Area Polka Society (TAPS)., Group meets at:Conn-Weisenberger Hall 2020 West Alexis Rd," Toledo,",Ohio,43613,419-345-5928,,Michael Marek, , Sunday 2pm-4pm or Saturday 6:30pm - 11pm. Call for times,To promote polka music and polka dancing., http://www.polishtoledo.com ,,,,,,,
 Holey Toledo Knitting Guild, Group meets at: Epiphany Lutheran Church ," Toledo,",Ohio,43615,419-472-1926,,Membership chair: Carrie Baum419-537-9325. carriebaum@toast.net, , 3rd Wednesday of the month 6:30pm.,"Sharing our mutual interest in knitting, expanding our knitting skills, mentoring those with less experience. Encouraging members in charity knitting involvement. ", ,,,,,,,
 Toledo Area Miniature Enthusiasts (TAME), Group meets at: Sylvania Heritage Museum 5717 N. Main St," Sylvania,",Ohio,43560,734-847-6366,,Carolyn Martin,President ," 1st Saturday/month, 1-4 p.m. (if not a holiday, then 2 Saturdays)","Promote and share our hobby of doll house and other items in scale miniature. Learning to make flower, furniture, dress dolls, beds, etc. We sponsored Juried displays, items by club and non club members. We maintain Sylvania Heritage Museum Miniature Room. Garage sale each year.", http://www.toledominis.org ,,,,,,,
 Toledo Woman's Club, 3829 Woodley Rd. B-8 ," Toledo,",Ohio,43606-1171 ,419-474-7621,,Bonnie Shuff,President , 1st Wednesday each month members @ noon.,"Providing social educational and community activities for women in the Toledo area. Members support Beach House, local food banks, and others. | We have a group meeting at the museum with a special docent six times a year. We hold fund-raisers for other charities, teas, etc. Bridge, dominoes, and lunch bunch."" HQ available for rentals.""", ,,,,,,,
 Nature's Nursery Center for Wildlife Rehabilitation and Conservation Education., P.O. Box 2395," Whitehouse,",Ohio,43571,419-877-0060,,"Laura Zitzelberger,",Operations Manager , Open by appointment only except during open houses,Provide care for injured and orphaned native wildlife. Conduct public programs on wildlife and environmental topics., http://www.Natures-Nursery.org ,,,,,,,
 Toledo (Ohio). Division of Parks and Forestry, 2201 Ottawa Parkway," Toledo,",Ohio,43606,419-245-3357,Fax: 419-936-2878,Dennis M Garvin,Commissoner ," 8:00 am-4:30 pm, Monday-Friday.","Division of Parks and Forestry is responsible for the maintenance and cleanliness of the city park system; for preservation of playgrounds, and for maintenance and landscaping of streetscapes, boulevards, and cul-de-sacs. Currently, this maintenance responsibility includes 145 parks and preserves of over 2,200 acres, 75 playgrounds, and 400 million square feet of boulevards, cul-de-sacs, greenspace, and 80,000 street trees and the 5 municipal cemeteries. The Forestry Section is responsible for the planting and maintenance of all trees in the public right-of-way, generally the area between the sidewalk and the curb.", http://www.toledo.oh.gov ,,,,,,,
 Polish National Alliance Lodge #520, 3601 Elm St.," Toledo,",Ohio,43608,,,, , Call for meeting schedule.,Group celebrates Polish heritage. Occasionally sponsors Polish heritage trips., http://www.pna-znp.org ,,,,,,,
 Arts Council Lake Erie West @ Common Space, 1700 N. Reynolds Rd.," Toledo,",Ohio,43615,419-531-2046,Fax: 419-531-5049,"Martin Nagy, martinnagy@aol.com",Executive Director , M-F 9am - 5pm.,"Arts Council Lake Erie West at Common Space offers a variety of arts programming for all ages. We can custom make programs in visual arts (drawing, painting, sculpture, clay) theatre, dance and music.", http://www.aclew.org ,,,,,,,
 Golden Retriever Club of Greater Toledo, , ,, ,567-225-3255,,Joanne Gardner,Secretary , No day or time specified.,"To promote the Golden Retriever Breed and offer information, activity and service to the public.", http://www.grcgt.net ,,,,,,,
 Today and Beyond Ecumenical Bereavement Support Group," Christ the King Church, 4100 Harvest Lane"," Toledo,",Ohio,43623,419-475-4348 ext-112,,Terry McKown, ," Second Tuesday of the Month, 6:30-8:00p.m. ","Today and Beyond Ecumenical Bereavement Support Group provides a confidential and safe atmosphere for adults of all ages who have lost a loved one. The facilitators promote an environment of warmth and comfort, where people can share their story and develop a greater sense of wholeness, love and acceptance. Meet in Parish Center Meeting Room.", ,,,,,,,
 , 2145 N. Cove Blvd.," Toledo,",Ohio,43606,419-936-3861 or 419-936-3863.,Fax: 419-936-3859,"Leslie Davis,",Senior Admin. Assistant (Specialist) ," Mon, Tues, Thurs, Fri - 8:am - 3:00pm.",Working with first time misdemeanor and status offenders. This intervention is a different approach to address juvenile problems. Hearings take place to establish unoffical probation for up to 1yr. Juvenile must attend individual group counseling for 6-12 wks with a therapist at FSNWO for successful completion. Successful termination letters will be mailed to families and juveniles of North West Ohio., ,,,,,,,
 Glass City Miniatures Guild, Bedford Branch Library 8575 Jackman Rd. , Bedford ,MI,48182,734 854-6652,,"Sharon Larrow,",Contact ," 3rd. and 4th Tuesday each month, 6:30 pm - 8:30pm.","The purpose of Glass City Miniatures Guild is to create, stimulate, and maintain interest in all matters pertaining to scale miniatures and to encourage new and creative talent. The guild has classes and projects at meetings throughout the year.", ,,,,,,,
 SABR-Society for American Baseball Research, 4545 Weldwood Lane, Sylvania,Ohio,43560,419-882-1301,,Steve Lauer,Contact ," 3 Saturdays each year, February, May and October.",To disseminate and increase awareness of the history of baseball in the Toledo area., ,,,,,,,
" Paws and Whiskers Cat Shelter, Inc.", 32 Hillwyck," Toledo,",Ohio,43615,419-536-1914,Fax:,"Dave Plunkett,",Manager ," Monday - Thurs 12 p.m.-7 p.m., Fri, Sat & Sun, 12 p.m. - 4:00 p.m.","Provide shelter, food, veterinary care for stray, homeless, unwanted cats, and try to find them homes.", http://www.pawsandwhiskers.org ,,,,,,,
 Telecom Pioneers, Group meets at: Various locations, ,, ,419-385-4308,,, ," 3rd Wednesday, every other month at noon for executive board mtgs.,","To answer the call of those in need. To provide a means of friendly association for telecommunication employees both active and retired. To foster among them a continuing fellowship and a spirit of mutual helpfulness to exemplify and perpetuate those principals which have come to be regarded as the ideals and traditions of our industry; and to participate in activities that are of service to our community and to contribute to the progress of the association and promote the happiness, well being and usefulness of the membership. Community projects.", ,,,,,,,
 Sylvania Area Historical Society," Group meets at: Sylvania Heritage Center, 5717 N. Main St", Sylvania,Ohio,43560,419-318-9632,,"Polly Cooper,",Collections Manager. ," 3rd Wednesday of the month, 7pm., except Jan, Feb, Apr.,Jun., & Nov. Open on Tues. 10am - 2pm for research.","To preserve the history of Sylvania area, and promote genealogy of the area.", http://www.sylvaniahistory.org ,,,,,,,
 Rotary Club. West Toledo., , ,, ,567-455-0029,,William Eichholt,Secretary ," Meet every Wednesday noon-1pm, at Ramada Inn - Secor Rd.","Service organization, community projects and world wide polio eradication..", http://www.westtoledorotary.org ,,,,,,,
 MultiFaith Council of Northwest Ohio, Group meets at various places. 3009 Gunckel Blvd., ,, ,419-475-6535,,, , Days and times vary.,"Vision: The vision of the Multifaith Council of Northwest Ohio is to be significant force and model of multifaith collaboration by addressing critical issues that meet regional needs and by enriching the cultural fabric of the area. Mission: It is the Mission of the Multifaith council of Northwest Ohio to provide community leadership and facilitate programs that draw together diverse faiths and foster mutual respect, friendship and cooperation in service to the region. Covenat: I vow to consciously grow in the understanding and compassion that will encourage me to live peaceable with all of my neighbors. We have a program, Multifaith GROWs, to encourage and assist faith groups with land to engage in community gardening. Major banquet annually. Campaigns to designate Toledo and northwest Ohio as a compassionate community.""""", http://www.multifaithcouncil.org ,,,,,,,
 Little Farmer In the Dell. Childcare Center, 1809 N. McCord," Toledo,",Ohio,43615,419-867-0057,Fax: 419-867-0058,Alisa Heerdegen,Administrator ," 5:45 am - 6:30 pm, Monday-Friday.","All day sessions, open year round. All rooms have video surveilance. Daily lesson plans all rooms, arts & crafts, circle time, music, and computers for pre-school. Large outdoor play area for toddlers and older children. Food furnished and prepared on-site. Door security system.", ,,,,,,,
 Small Business Development Center (SBDC), 300 Madison Ave. Suite 200," Toledo,",Ohio,43604,419-243-8191,Fax: 419-241-8302,Bill Wersell,Director ," Mon - Fri, 8:30 am - 5:00 pm.","SBDC can provide many free resources for staffing and successfully operating a small business, including educational programs, one-on one counseling and mentoring services by our business counselors and also resource materials. Monthly business startup classes.", ,,,,,,,
 Women of The Old West End," Homes in the Old West End, "," Toledo,",Ohio,43620,419-360-2151,,, ," First Wednesday of the month, 6:30pm. Potluck 7-meeting.",Non-profit-Tour de Noel is our largest event. Preservation. Children's Day for all neighborhood children. Partners with Old West End Association. We have adopted OWE Commons Park. All residents welcome., ,,,,,,,
 Toledo Area Small Business Development Center," Toledo Area Chamber of Commerce, 300 Madison Ave. Suite 200"," Toledo,",Ohio,43604,419-243-8191,,, , ,"Continue to operate and oversee Small Business Development Center program to facilitate business growth in Lucas County, through a variety of different resources.", http://www.toledochamber.com ,,,,,,,
 Northwest Ohio Christian Writers, St. Mark's Church, Bowling Green,Ohio , ,419-825-1376,,email@nwoc.org, , ,"We are a group of about 20 regular attendees who meet the 4th Friday of Jan/Mar/May/July/Sept, from 11am - 1pm. We also have unofficial meetings. We have an annual spring retreat and a fall seminar. The seminar is held in October in Toledo. Visit our web page for more information.", http://www.nwocw.org ,,,,,,,
 Stranahan Arboretum, 4131 Tantara," Toledo,",Ohio,43623,419-841-1007,Fax: 419-530-4421,, , Check website., Open visitation by appointment, http://www.utoledo.edu/nsm/arboretum/index.html ,,,,,,,
 Regional Growth Partnership," 300 Madison Ave, Suite 270"," Toledo,",Ohio,43604,419-252-2700,Fax: 419-252-2724,Dean Moske,President & CEO ," M-F, 8-5.","The Regional Growth Partnership is a private, non-profit economic development organization representing 15 counties in Northwest Ohio and Southeast Michigan.", http://www.RGP.org ,,,,,,,
 Christ Child Society, P. O. Box 352254," Toledo,",Ohio,43638,419-882-1532,,Charlene Kuhn,President , Day and time varies.,"Concerned with the welfare of children. Projects, Clothe-A-Child, pkg of new winter outfit (warm winter coat, mittens, hat,) . Layettes-pram suit or sweater, diapers, onesies, sleep & play outfits, socks, helpful baby information to hospitals and social service agencies for babies. Tutoring through schools. See website for more information.", http://www.christchildsocietytoledo.org ,,,,,,,
